       textosEads  ClassEmociones
0            2392               4
1            1638               4
2           15052               0
3             481               3
4             632               0
5           15587               4
6           15694               5
7            3556               1
8            9218               2
9            6583               3
10           5253               4
11           2557               2
12          12437               0
13           5962               4
14           9291               2
15           2654               2
16           2453               4
17           6341               4
18          11982               4
19          11044               1
20           4706               0
21            575               1
22           9426               2
23          13035               2
24            141               0
25          12174               4
26           6942               4
27           1382               4
28           4856               0
29           6064               2
30           8471               2
31          11470               1
32           9384               5
33           1961               0
34           1759               2
35           1049               2
36           9169               2
37           2594               2
38           3201               0
39          10952               2
40          11173               2
41            148               2
42          15850               2
43           8058               2
44          13363               4
45          13264               4
46          10518               2
47           1763               3
48          15869               2
49          12202               0
50          10929               2
51           8413               4
52           6639               0
53          13608               1
54           1369               2
55           8197               4
56           8954               4
57           9970               5
58           9439               2
59           6108               2
60           4634               2
61           1358               3
62           5877               1
63           1389               1
64           1066               5
65           6640               0
66          10242               0
67           9194               4
68          12251               3
69          13189               2
70            692               4
71           8301               4
72           2859               2
73           1581               4
74           2320               4
75          15485               4
76           2300               2
77          12371               2
78           3813               2
79           3511               0
80           4970               4
81           5342               0
82           3044               0
83          11504               0
84           7988               2
85           7361               2
86          11110               2
87          12342               2
88           7145               4
89          13814               1
90          13541               3
91          14564               0
92          15959               4
93            972               0
94          12292               3
95           5860               4
96          15386               2
97           8323               2
98           9565               4
99          11634               0
100         14040               3
101           113               2
102          4100               2
103           236               2
104         10778               4
105          5825               2
106          9638               2
107           788               2
108            37               2
109          2222               4
110          4786               2
111           554               2
112          5713               3
113          7863               4
114         15184               4
115          2183               2
116         14050               2
117          3451               4
118         13219               2
119          4435               2
120          8826               1
121          8870               1
122          2321               1
123          8477               4
124          1261               3
125          7716               2
126          6325               2
127           644               3
128         12420               1
129         12606               5
130         10357               2
131          4058               2
132         13600               2
133          2311               2
134         13004               0
135         12240               1
136          1958               2
137           186               0
138          1494               3
139          2845               0
140          2650               4
141         10814               2
142         12129               4
143          9810               0
144           443               2
145         11969               5
146          3309               4
147          3958               0
148         10295               0
149          2149               4
150         13328               2
151         12597               1
152         12105               2
153           343               2
154         11497               1
155          2052               4
156         14384               5
157         15368               5
158          4815               2
159         11655               0
160          7221               1
161         14386               0
162           491               4
163          2034               0
164          7048               4
165         15026               1
166         12095               4
167          9029               2
168         12947               5
169         15915               1
170         12937               2
171         10245               0
172         12732               2
173         14601               0
174          5569               2
175         11881               1
176           157               1
177          9961               4
178         15798               2
179          9646               2
180           995               4
181         13826               5
182          1425               2
183          8091               1
184         11491               2
185          5284               4
186         11373               2
187         15470               2
188         15237               2
189         12427               1
190          4408               2
191         13165               5
192          4609               2
193          9496               0
194          8285               4
195          2475               4
196          7378               2
197         15440               0
198          5810               4
199          9111               2
200          5387               2
201          3864               5
202          7673               2
203          6166               1
204          6336               2
205         14017               1
206         10361               4
207         10157               1
208         11718               3
209          3393               4
210           729               1
211         10066               3
212          9467               4
213         14217               4
214         14250               0
215          3554               2
216          9432               3
217         13876               0
218         13875               4
219          4379               5
220          6857               0
221         15849               2
222           590               4
223          2323               0
224         12182               2
225          2754               2
226         14755               2
227         14689               2
228          1600               2
229          2005               4
230         10683               2
231          1767               3
232         13280               2
233          8583               4
234          1040               0
