                      Texto 1   Texto 2   Texto 3
a                    1.518514  1.146128  1.079181
aba                  0.301030  0.000000  0.000000
abajo                0.301030  0.000000  0.000000
abigotada            0.000000  0.301030  0.000000
aboga                0.000000  0.000000  0.301030
abuelas              0.301030  0.000000  0.000000
acababa              0.301030  0.000000  0.000000
acampadores          0.000000  0.301030  0.000000
achaparrada          0.000000  0.301030  0.000000
acordaba             0.477121  0.000000  0.000000
actitud              0.000000  0.301030  0.000000
adecuada             0.000000  0.000000  0.301030
adem                 0.000000  0.000000  0.301030
adentros             0.000000  0.301030  0.000000
adheridos            0.000000  0.301030  0.000000
adicional            0.000000  0.000000  0.301030
admirar              0.000000  0.301030  0.000000
ado                  0.301030  0.000000  0.000000
adquir               0.301030  0.000000  0.000000
afeite               0.000000  0.301030  0.000000
afirma               0.000000  0.000000  0.301030
agrega               0.000000  0.000000  0.477121
agua                 0.000000  0.000000  0.301030
ah                   0.000000  0.301030  0.000000
ahora                0.477121  0.000000  0.000000
ahorcaban            0.000000  0.301030  0.000000
aire                 0.000000  0.301030  0.000000
aires                0.000000  0.301030  0.000000
al                   0.845098  0.602060  0.301030
alacena              0.000000  0.000000  0.301030
albayalde            0.000000  0.301030  0.000000
alegr                0.301030  0.000000  0.000000
alg                  0.000000  0.301030  0.000000
alguna               0.000000  0.301030  0.000000
algunas              0.301030  0.000000  0.301030
algunos              0.602060  0.000000  0.000000
aliado               0.000000  0.000000  0.301030
alimentaci           0.000000  0.000000  0.301030
alimentarse          0.000000  0.000000  0.301030
all                  0.301030  0.000000  0.000000
alto                 0.301030  0.000000  0.000000
altos                0.301030  0.000000  0.000000
an                   0.778151  0.477121  0.000000
ana                  0.301030  0.000000  0.000000
anaya                0.000000  0.477121  0.000000
anterior             0.477121  0.000000  0.000000
antes                0.301030  0.000000  0.000000
antiguo              0.477121  0.000000  0.000000
antiguos             0.301030  0.000000  0.000000
aparece              0.000000  0.000000  0.301030
aparecen             0.000000  0.000000  0.301030
apenada              0.301030  0.000000  0.000000
api                  0.301030  0.000000  0.000000
apoyar               0.000000  0.000000  0.301030
aprend               0.000000  0.301030  0.000000
aprendido            0.000000  0.301030  0.000000
aqu                  0.301030  0.000000  0.000000
aquel                0.477121  0.000000  0.000000
aquellas             0.301030  0.000000  0.000000
arboles              0.000000  0.301030  0.000000
