                      Texto 1   Texto 2   Texto 3
a                    0.000000  0.000000  0.000000
aba                  0.143628  0.000000  0.000000
abajo                0.143628  0.000000  0.000000
abigotada            0.000000  0.143628  0.000000
aboga                0.000000  0.000000  0.143628
abuelas              0.143628  0.000000  0.000000
acababa              0.143628  0.000000  0.000000
acampadores          0.000000  0.143628  0.000000
achaparrada          0.000000  0.143628  0.000000
acordaba             0.227645  0.000000  0.000000
actitud              0.000000  0.143628  0.000000
adecuada             0.000000  0.000000  0.143628
adem                 0.000000  0.000000  0.143628
adentros             0.000000  0.143628  0.000000
adheridos            0.000000  0.143628  0.000000
adicional            0.000000  0.000000  0.143628
admirar              0.000000  0.143628  0.000000
ado                  0.143628  0.000000  0.000000
adquir               0.143628  0.000000  0.000000
afeite               0.000000  0.143628  0.000000
afirma               0.000000  0.000000  0.143628
agrega               0.000000  0.000000  0.227645
agua                 0.000000  0.000000  0.143628
ah                   0.000000  0.143628  0.000000
ahora                0.227645  0.000000  0.000000
ahorcaban            0.000000  0.143628  0.000000
aire                 0.000000  0.143628  0.000000
aires                0.000000  0.143628  0.000000
al                   0.000000  0.000000  0.000000
alacena              0.000000  0.000000  0.143628
albayalde            0.000000  0.143628  0.000000
alegr                0.143628  0.000000  0.000000
alg                  0.000000  0.143628  0.000000
alguna               0.000000  0.143628  0.000000
algunas              0.053009  0.000000  0.053009
algunos              0.287256  0.000000  0.000000
aliado               0.000000  0.000000  0.143628
alimentaci           0.000000  0.000000  0.143628
alimentarse          0.000000  0.000000  0.143628
all                  0.143628  0.000000  0.000000
alto                 0.143628  0.000000  0.000000
altos                0.143628  0.000000  0.000000
an                   0.137026  0.084017  0.000000
ana                  0.143628  0.000000  0.000000
anaya                0.000000  0.227645  0.000000
anterior             0.227645  0.000000  0.000000
antes                0.143628  0.000000  0.000000
antiguo              0.227645  0.000000  0.000000
antiguos             0.143628  0.000000  0.000000
aparece              0.000000  0.000000  0.143628
aparecen             0.000000  0.000000  0.143628
apenada              0.143628  0.000000  0.000000
api                  0.143628  0.000000  0.000000
apoyar               0.000000  0.000000  0.143628
aprend               0.000000  0.143628  0.000000
aprendido            0.000000  0.143628  0.000000
aqu                  0.143628  0.000000  0.000000
aquel                0.227645  0.000000  0.000000
aquellas             0.143628  0.000000  0.000000
arboles              0.000000  0.143628  0.000000
argumenta            0.000000  0.000000  0.143628
argumentaci          0.000000  0.000000  0.143628
argumentar           0.000000  0.000000  0.143628
argumentativo        0.000000  0.000000  0.227645
argumentativos       0.000000  0.000000  0.143628
argumentos           0.000000  0.000000  0.227645
arruga               0.143628  0.000000  0.000000
art                  0.000000  0.000000  0.227645
as                   0.106018  0.084017  0.000000
aseada               0.000000  0.227645  0.000000
asociar              0.000000  0.143628  0.000000
aula                 0.227645  0.000000  0.000000
aun                  0.143628  0.000000  0.000000
auxiliado            0.143628  0.000000  0.000000
az                   0.000000  0.000000  0.371273
azucaradas           0.000000  0.000000  0.143628
azules               0.000000  0.143628  0.000000
baja                 0.000000  0.053009  0.053009
bajo                 0.053009  0.000000  0.053009
banano               0.000000  0.000000  0.143628
bancos               0.143628  0.000000  0.000000
barba                0.143628  0.000000  0.000000
baretti              0.143628  0.000000  0.000000
bebidas              0.000000  0.000000  0.143628
bedel                0.143628  0.000000  0.000000
bella                0.000000  0.143628  0.000000
belleza              0.000000  0.143628  0.000000
bend                 0.000000  0.143628  0.000000
besarle              0.143628  0.000000  0.000000
bien                 0.000000  0.000000  0.227645
big                  0.000000  0.143628  0.000000
blancas              0.000000  0.000000  0.143628
blanqueaba           0.000000  0.143628  0.000000
bosques              0.143628  0.000000  0.000000
bracamonte           0.000000  0.227645  0.000000
breve                0.000000  0.000000  0.143628
brownsville          0.000000  0.143628  0.000000
buen                 0.000000  0.000000  0.143628
buena                0.000000  0.000000  0.143628
bueno                0.227645  0.000000  0.000000
buenos               0.000000  0.143628  0.000000
bulo                 0.143628  0.000000  0.000000
buscan               0.000000  0.000000  0.143628
