      Texto 1   Texto 2   Texto 3
aab  0.000000  0.143628  0.000000
aac  0.000000  0.227645  0.000000
aad  0.000000  0.000000  0.000000
aaf  0.000000  0.000000  0.143628
aag  0.000000  0.000000  0.143628
aal  0.053009  0.000000  0.053009
aan  0.227645  0.000000  0.000000
aap  0.000000  0.143628  0.000000
aaq  0.143628  0.000000  0.000000
aar  0.053009  0.000000  0.084017
aas  0.053009  0.084017  0.000000
aat  0.143628  0.000000  0.000000
aau  0.143628  0.000000  0.000000
aay  0.000000  0.000000  0.143628
aba  0.000000  0.000000  0.000000
abe  0.000000  0.000000  0.000000
abi  0.000000  0.287256  0.000000
abl  0.000000  0.000000  0.000000
abo  0.000000  0.000000  0.227645
abr  0.084017  0.000000  0.084017
abt  0.000000  0.000000  0.287256
abu  0.143628  0.000000  0.000000
aca  0.148814  0.123083  0.000000
ace  0.000000  0.000000  0.143628
ach  0.000000  0.000000  0.000000
aci  0.000000  0.000000  0.000000
acl  0.053009  0.000000  0.053009
aco  0.000000  0.000000  0.000000
act  0.000000  0.227645  0.000000
acu  0.227645  0.000000  0.000000
ada  0.000000  0.000000  0.000000
add  0.000000  0.000000  0.000000
ade  0.000000  0.000000  0.000000
adh  0.000000  0.143628  0.000000
adi  0.000000  0.000000  0.000000
adm  0.000000  0.143628  0.000000
ado  0.000000  0.000000  0.000000
adq  0.143628  0.000000  0.000000
adr  0.403214  0.000000  0.000000
ady  0.000000  0.000000  0.143628
ael  0.106018  0.000000  0.106018
aem  0.143628  0.000000  0.000000
aen  0.000000  0.000000  0.000000
aer  0.053009  0.053009  0.000000
aes  0.000000  0.000000  0.000000
aex  0.000000  0.000000  0.227645
afa  0.000000  0.000000  0.143628
afe  0.000000  0.143628  0.000000
afi  0.000000  0.000000  0.227645
afo  0.000000  0.143628  0.000000
afr  0.053009  0.053009  0.000000
afu  0.053009  0.053009  0.000000
aga  0.143628  0.000000  0.000000
age  0.053009  0.053009  0.000000
agl  0.000000  0.000000  0.227645
agr  0.000000  0.000000  0.227645
agu  0.084017  0.000000  0.053009
ahe  0.143628  0.000000  0.000000
aho  0.000000  0.000000  0.000000
ahp  0.000000  0.143628  0.000000
ahu  0.000000  0.143628  0.000000
aid  0.000000  0.000000  0.227645
aim  0.000000  0.053009  0.084017
ain  0.053009  0.000000  0.053009
air  0.000000  0.227645  0.000000
aja  0.000000  0.053009  0.084017
aje  0.000000  0.227645  0.000000
ajo  0.123083  0.000000  0.053009
ala  0.000000  0.000000  0.000000
alb  0.000000  0.143628  0.000000
alc  0.000000  0.000000  0.143628
ald  0.000000  0.403214  0.000000
ale  0.000000  0.000000  0.000000
alg  0.000000  0.000000  0.000000
ali  0.000000  0.000000  0.000000
all  0.000000  0.000000  0.000000
alm  0.000000  0.084017  0.053009
alo  0.000000  0.000000  0.000000
alp  0.143628  0.000000  0.000000
alq  0.000000  0.053009  0.053009
als  0.084017  0.053009  0.000000
alt  0.227645  0.000000  0.000000
alu  0.053009  0.000000  0.084017
alv  0.053009  0.053009  0.000000
aly  0.287256  0.000000  0.000000
ama  0.000000  0.000000  0.000000
amb  0.053009  0.000000  0.084017
ame  0.000000  0.000000  0.000000
ami  0.000000  0.000000  0.000000
amm  0.143628  0.000000  0.000000
amo  0.084017  0.123083  0.000000
amp  0.084017  0.084017  0.000000
