      Texto 1   Texto 2   Texto 3
aab  0.000000  0.301030  0.000000
aac  0.000000  0.477121  0.000000
aad  0.301030  0.301030  0.301030
aaf  0.000000  0.000000  0.301030
aag  0.000000  0.000000  0.301030
aal  0.301030  0.000000  0.301030
aan  0.477121  0.000000  0.000000
aap  0.000000  0.301030  0.000000
aaq  0.301030  0.000000  0.000000
aar  0.301030  0.000000  0.477121
aas  0.301030  0.477121  0.000000
aat  0.301030  0.000000  0.000000
aau  0.301030  0.000000  0.000000
aay  0.000000  0.000000  0.301030
aba  1.361728  0.903090  0.301030
abe  0.698970  0.301030  0.698970
abi  0.000000  0.602060  0.000000
abl  0.301030  0.301030  0.477121
abo  0.000000  0.000000  0.477121
abr  0.477121  0.000000  0.477121
abt  0.000000  0.000000  0.602060
abu  0.301030  0.000000  0.000000
aca  0.845098  0.698970  0.000000
ace  0.000000  0.000000  0.301030
ach  0.301030  0.477121  0.301030
aci  0.301030  0.477121  0.903090
acl  0.301030  0.000000  0.301030
aco  0.845098  0.698970  0.602060
act  0.000000  0.477121  0.000000
acu  0.477121  0.000000  0.000000
ada  0.698970  0.778151  0.778151
add  0.301030  0.301030  0.477121
ade  1.113943  1.146128  0.903090
adh  0.000000  0.301030  0.000000
adi  0.301030  0.477121  1.113943
adm  0.000000  0.301030  0.000000
ado  1.041393  1.000000  0.954243
adq  0.301030  0.000000  0.000000
adr  0.845098  0.000000  0.000000
ady  0.000000  0.000000  0.301030
ael  0.602060  0.000000  0.602060
aem  0.301030  0.000000  0.000000
aen  0.698970  0.845098  0.698970
aer  0.301030  0.301030  0.000000
aes  1.079181  0.602060  0.698970
aex  0.000000  0.000000  0.477121
afa  0.000000  0.000000  0.301030
afe  0.000000  0.301030  0.000000
afi  0.000000  0.000000  0.477121
afo  0.000000  0.301030  0.000000
afr  0.301030  0.301030  0.000000
afu  0.301030  0.301030  0.000000
aga  0.301030  0.000000  0.000000
age  0.301030  0.301030  0.000000
agl  0.000000  0.000000  0.477121
agr  0.000000  0.000000  0.477121
agu  0.477121  0.000000  0.301030
ahe  0.301030  0.000000  0.000000
aho  0.602060  0.301030  0.301030
ahp  0.000000  0.301030  0.000000
ahu  0.000000  0.301030  0.000000
aid  0.000000  0.000000  0.477121
aim  0.000000  0.301030  0.477121
ain  0.301030  0.000000  0.301030
air  0.000000  0.477121  0.000000
aja  0.000000  0.301030  0.477121
aje  0.000000  0.477121  0.000000
ajo  0.698970  0.000000  0.301030
ala  0.903090  0.954243  1.041393
alb  0.000000  0.301030  0.000000
alc  0.000000  0.000000  0.301030
ald  0.000000  0.845098  0.000000
ale  1.041393  0.778151  0.954243
alg  0.778151  0.477121  0.301030
ali  0.602060  0.778151  0.698970
all  0.845098  0.602060  0.301030
alm  0.000000  0.477121  0.301030
alo  0.477121  0.602060  0.477121
alp  0.301030  0.000000  0.000000
alq  0.000000  0.301030  0.301030
als  0.477121  0.301030  0.000000
alt  0.477121  0.000000  0.000000
alu  0.301030  0.000000  0.477121
alv  0.301030  0.301030  0.000000
aly  0.602060  0.000000  0.000000
ama  0.845098  0.698970  0.477121
amb  0.301030  0.000000  0.477121
ame  0.477121  0.698970  0.301030
ami  0.602060  0.477121  0.477121
amm  0.301030  0.000000  0.000000
amo  0.477121  0.698970  0.000000
amp  0.477121  0.477121  0.000000
ams  0.477121  0.000000  0.000000
amu  0.000000  0.301030  0.000000
ana  0.954243  0.602060  0.477121
anb  0.477121  0.000000  0.301030
anc  0.778151  0.477121  0.477121
and  0.602060  0.602060  0.477121
ane  0.602060  0.301030  0.602060
ang  0.000000  0.301030  0.301030
ani  0.301030  0.301030  0.301030
anl  0.477121  0.602060  0.000000
anm  0.000000  0.477121  0.000000
ano  0.778151  0.903090  0.477121
anp  0.000000  0.000000  0.301030
anq  0.000000  0.477121  0.000000
ans  0.301030  0.477121  0.000000
ant  1.079181  0.698970  0.477121
anu  0.301030  0.301030  0.698970
any  0.477121  0.000000  0.000000
anz  0.301030  0.000000  0.000000
aoa  0.477121  0.000000  0.000000
aoe  0.301030  0.000000  0.301030
aon  0.000000  0.301030  0.000000
aop  0.000000  0.000000  0.301030
aos  0.301030  0.301030  0.000000
apa  0.602060  0.477121  0.845098
ape  0.301030  0.477121  0.000000
api  0.301030  0.000000  0.301030
apl  0.000000  0.000000  0.301030
apo  0.000000  0.301030  0.602060
apr  0.602060  0.602060  0.954243
apt  0.000000  0.301030  0.000000
apu  0.477121  0.000000  0.000000
aqu  0.845098  0.477121  1.000000
ara  0.954243  0.845098  0.954243
arb  0.301030  0.301030  0.698970
arc  0.301030  0.301030  0.000000
ard  0.301030  0.000000  0.477121
are  1.041393  0.778151  0.778151
arf  0.000000  0.301030  0.000000
arg  0.477121  0.301030  0.954243
ari  0.301030  0.778151  0.477121
arl  0.477121  0.778151  0.602060
arm  0.000000  0.301030  0.301030
arn  0.000000  0.000000  0.301030
aro  0.477121  0.477121  0.000000
arp  0.000000  0.000000  0.301030
arq  0.000000  0.301030  0.000000
arr  0.301030  0.477121  0.301030
ars  0.000000  0.301030  0.477121
art  0.477121  0.477121  0.698970
aru  0.000000  0.000000  0.477121
ary  0.301030  0.000000  0.301030
arz  0.000000  0.301030  0.000000
asa  0.845098  0.477121  0.954243
asb  0.000000  0.000000  0.477121
asc  0.778151  0.477121  0.477121
asd  0.845098  0.698970  0.477121
ase  1.113943  0.698970  0.698970
asf  0.301030  0.301030  0.000000
asg  0.000000  0.301030  0.301030
ash  0.000000  0.000000  0.477121
asi  0.698970  0.477121  0.000000
asl  0.698970  0.000000  0.602060
asm  0.778151  0.000000  0.301030
asn  0.000000  0.477121  0.000000
aso  0.000000  0.698970  0.301030
asp  0.698970  0.602060  0.301030
asq  0.301030  0.000000  0.301030
asr  0.000000  0.301030  0.000000
ass  0.602060  0.477121  0.301030
ast  0.301030  0.477121  0.477121
asu  0.477121  0.477121  0.301030
asv  0.000000  0.000000  0.477121
asy  0.301030  0.477121  0.602060
ata  0.602060  0.477121  0.778151
ate  0.477121  0.301030  0.477121
ati  0.301030  0.301030  0.698970
ato  0.477121  0.778151  0.698970
atr  0.477121  0.301030  0.301030
att  0.301030  0.000000  0.000000
atu  0.000000  0.000000  0.301030
aul  0.477121  0.000000  0.000000
aun  0.602060  0.000000  0.000000
aus  0.000000  0.000000  0.301030
aux  0.301030  0.000000  0.000000
ava  0.000000  0.000000  0.301030
ave  0.698970  0.602060  0.301030
avi  0.000000  0.845098  0.000000
avo  0.000000  0.301030  0.301030
avs  0.000000  0.000000  0.301030
aya  0.000000  0.903090  0.301030
ayc  0.301030  0.000000  0.301030
ayd  0.000000  0.000000  0.477121
aye  0.301030  0.000000  0.602060
ayn  0.477121  0.000000  0.000000
ayo  0.477121  0.000000  0.000000
ayq  0.301030  0.000000  0.000000
ayr  0.000000  0.301030  0.000000
ays  0.000000  0.000000  0.301030
ayt  0.000000  0.000000  0.301030
azc  0.000000  0.000000  0.778151
azd  0.000000  0.301030  0.000000
azn  0.000000  0.301030  0.000000
azu  0.000000  0.301030  0.301030
bab  0.301030  0.000000  0.000000
bac  0.301030  0.301030  0.000000
bad  0.602060  0.301030  0.000000
bae  0.602060  0.000000  0.000000
baj  0.602060  0.301030  0.477121
bal  0.301030  0.000000  0.000000
bam  0.301030  0.301030  0.000000
ban  0.954243  0.301030  0.301030
bap  0.301030  0.301030  0.000000
bar  0.698970  0.000000  0.000000
bas  0.301030  0.301030  0.000000
bat  0.477121  0.000000  0.000000
bay  0.301030  0.301030  0.000000
beb  0.000000  0.000000  0.301030
