                           Texto 1   Texto 2   Texto 3
.[.]                      0.000000  0.143628  0.000000
.[mente]                  0.000000  0.143628  0.000000
Ah[.]                     0.000000  0.143628  0.000000
a[morirán]                0.000000  0.143628  0.000000
adentros[para]            0.000000  0.143628  0.000000
adentros[sus]             0.000000  0.143628  0.000000
agrega[.]                 0.000000  0.000000  0.143628
agrega[es]                0.000000  0.000000  0.143628
agrega[experta]           0.000000  0.000000  0.143628
agrega[recomendado]       0.000000  0.000000  0.143628
algunas[banano]           0.000000  0.000000  0.143628
algunas[dulces]           0.000000  0.000000  0.143628
anterior[como]            0.143628  0.000000  0.000000
anterior[la]              0.143628  0.000000  0.000000
aquel[.]                  0.143628  0.000000  0.000000
aquel[;]                  0.143628  0.000000  0.000000
aquel[\\,]                0.143628  0.000000  0.000000
aquel[bueno]              0.143628  0.000000  0.000000
aquel[sonreía]            0.143628  0.000000  0.000000
aula[escuela]             0.143628  0.000000  0.000000
aula[esta]                0.143628  0.000000  0.000000
aula[tanto]               0.143628  0.000000  0.000000
banano[como]              0.000000  0.000000  0.143628
banano[el]                0.000000  0.000000  0.143628
banano[piña]              0.000000  0.000000  0.143628
banano[uvas]              0.000000  0.000000  0.143628
bueno[tan]                0.143628  0.000000  0.000000
carbohidratos[cereales]   0.000000  0.000000  0.143628
cereales[integrales]      0.000000  0.000000  0.143628
cereales[o]               0.000000  0.000000  0.143628
comida[de]                0.000000  0.000000  0.143628
consumir[frutas]          0.000000  0.000000  0.143628
consumir[más]             0.000000  0.000000  0.143628
consumir[y]               0.000000  0.000000  0.143628
consumo[el]               0.000000  0.000000  0.143628
consumo[frutas]           0.000000  0.000000  0.143628
cortar[frente]            0.143628  0.000000  0.000000
cortar[le]                0.143628  0.000000  0.000000
de[.]                     0.000000  0.000000  0.143628
de[agrega]                0.000000  0.000000  0.143628
dentro[nosotros]          0.143628  0.000000  0.000000
después[otro]             0.143628  0.000000  0.000000
dulces[muy]               0.000000  0.000000  0.143628
el[mismo]                 0.143628  0.000000  0.000000
en[particular]            0.000000  0.143628  0.000000
es[ideal]                 0.000000  0.000000  0.143628
es[incluir]               0.000000  0.000000  0.143628
es[que]                   0.000000  0.000000  0.143628
es[“]                     0.000000  0.000000  0.143628
es[”]                     0.000000  0.000000  0.143628
escuela[anterior]\t       0.143628  0.000000  0.000000
escuela[de]               0.143628  0.000000  0.000000
escuela[la]               0.143628  0.000000  0.000000
escuela[ronca]            0.143628  0.000000  0.000000
eterna[en]                0.000000  0.143628  0.000000
eterna[es]                0.000000  0.143628  0.000000
eterna[estética]          0.000000  0.143628  0.000000
eterna[no]                0.000000  0.143628  0.000000
eterna[vida]              0.000000  0.143628  0.000000
evitar[\\,]               0.000000  0.000000  0.143628
evitar[algunas]           0.000000  0.000000  0.143628
evitar[consumir]          0.000000  0.000000  0.143628
evitar[harinas]           0.000000  0.000000  0.143628
evitar[incluir]           0.000000  0.000000  0.143628
experta[la]               0.000000  0.000000  0.143628
frente[la]                0.143628  0.000000  0.000000
frutas[de]                0.000000  0.000000  0.143628
frutas[tengan]            0.000000  0.000000  0.143628
frutas[ácidas]            0.000000  0.000000  0.143628
gustado[\\,]              0.143628  0.000000  0.000000
gustado[aula]             0.143628  0.000000  0.000000
gustado[ha]               0.143628  0.000000  0.000000
gustado[me]               0.143628  0.000000  0.000000
gustado[no]               0.143628  0.000000  0.000000
gustado[y]                0.143628  0.000000  0.000000
harinas[blancas]          0.000000  0.000000  0.143628
harinas[las]              0.000000  0.000000  0.143628
harinas[tiempos]          0.000000  0.000000  0.143628
ideal[lo]                 0.000000  0.000000  0.143628
ignoramos[solo]           0.000000  0.143628  0.000000
ignoramos[vamos]          0.000000  0.143628  0.000000
incluir[\\,]              0.000000  0.000000  0.143628
incluir[carbohidratos]\t  0.000000  0.000000  0.143628
incluir[evitar]           0.000000  0.000000  0.143628
incluir[proteínas]        0.000000  0.000000  0.143628
incluir[siempre]          0.000000  0.000000  0.143628
inmortales[...]           0.000000  0.143628  0.000000
inmortales[:]             0.000000  0.143628  0.000000
inmortales[\\,]           0.000000  0.143628  0.000000
inmortales[eterna]        0.000000  0.143628  0.000000
inmortales[ignoramos]     0.000000  0.143628  0.000000
inmortales[no]            0.000000  0.143628  0.000000
inmortales[somos]         0.000000  0.143628  0.000000
