                          Texto 1  Texto 2  Texto 3
.[.]                      0.00000  0.30103  0.00000
.[mente]                  0.00000  0.30103  0.00000
Ah[.]                     0.00000  0.30103  0.00000
a[morirán]                0.00000  0.30103  0.00000
adentros[para]            0.00000  0.30103  0.00000
adentros[sus]             0.00000  0.30103  0.00000
agrega[.]                 0.00000  0.00000  0.30103
agrega[es]                0.00000  0.00000  0.30103
agrega[experta]           0.00000  0.00000  0.30103
agrega[recomendado]       0.00000  0.00000  0.30103
algunas[banano]           0.00000  0.00000  0.30103
algunas[dulces]           0.00000  0.00000  0.30103
anterior[como]            0.30103  0.00000  0.00000
anterior[la]              0.30103  0.00000  0.00000
aquel[.]                  0.30103  0.00000  0.00000
aquel[;]                  0.30103  0.00000  0.00000
aquel[\\,]                0.30103  0.00000  0.00000
aquel[bueno]              0.30103  0.00000  0.00000
aquel[sonreía]            0.30103  0.00000  0.00000
aula[escuela]             0.30103  0.00000  0.00000
aula[esta]                0.30103  0.00000  0.00000
aula[tanto]               0.30103  0.00000  0.00000
banano[como]              0.00000  0.00000  0.30103
banano[el]                0.00000  0.00000  0.30103
banano[piña]              0.00000  0.00000  0.30103
banano[uvas]              0.00000  0.00000  0.30103
bueno[tan]                0.30103  0.00000  0.00000
carbohidratos[cereales]   0.00000  0.00000  0.30103
cereales[integrales]      0.00000  0.00000  0.30103
cereales[o]               0.00000  0.00000  0.30103
comida[de]                0.00000  0.00000  0.30103
consumir[frutas]          0.00000  0.00000  0.30103
consumir[más]             0.00000  0.00000  0.30103
consumir[y]               0.00000  0.00000  0.30103
consumo[el]               0.00000  0.00000  0.30103
consumo[frutas]           0.00000  0.00000  0.30103
cortar[frente]            0.30103  0.00000  0.00000
cortar[le]                0.30103  0.00000  0.00000
de[.]                     0.00000  0.00000  0.30103
de[agrega]                0.00000  0.00000  0.30103
dentro[nosotros]          0.30103  0.00000  0.00000
después[otro]             0.30103  0.00000  0.00000
dulces[muy]               0.00000  0.00000  0.30103
el[mismo]                 0.30103  0.00000  0.00000
en[particular]            0.00000  0.30103  0.00000
es[ideal]                 0.00000  0.00000  0.30103
es[incluir]               0.00000  0.00000  0.30103
es[que]                   0.00000  0.00000  0.30103
es[“]                     0.00000  0.00000  0.30103
es[”]                     0.00000  0.00000  0.30103
escuela[anterior]\t       0.30103  0.00000  0.00000
escuela[de]               0.30103  0.00000  0.00000
escuela[la]               0.30103  0.00000  0.00000
escuela[ronca]            0.30103  0.00000  0.00000
eterna[en]                0.00000  0.30103  0.00000
eterna[es]                0.00000  0.30103  0.00000
eterna[estética]          0.00000  0.30103  0.00000
eterna[no]                0.00000  0.30103  0.00000
eterna[vida]              0.00000  0.30103  0.00000
evitar[\\,]               0.00000  0.00000  0.30103
evitar[algunas]           0.00000  0.00000  0.30103
evitar[consumir]          0.00000  0.00000  0.30103
evitar[harinas]           0.00000  0.00000  0.30103
evitar[incluir]           0.00000  0.00000  0.30103
experta[la]               0.00000  0.00000  0.30103
frente[la]                0.30103  0.00000  0.00000
frutas[de]                0.00000  0.00000  0.30103
frutas[tengan]            0.00000  0.00000  0.30103
frutas[ácidas]            0.00000  0.00000  0.30103
gustado[\\,]              0.30103  0.00000  0.00000
gustado[aula]             0.30103  0.00000  0.00000
gustado[ha]               0.30103  0.00000  0.00000
gustado[me]               0.30103  0.00000  0.00000
gustado[no]               0.30103  0.00000  0.00000
gustado[y]                0.30103  0.00000  0.00000
harinas[blancas]          0.00000  0.00000  0.30103
harinas[las]              0.00000  0.00000  0.30103
harinas[tiempos]          0.00000  0.00000  0.30103
ideal[lo]                 0.00000  0.00000  0.30103
ignoramos[solo]           0.00000  0.30103  0.00000
ignoramos[vamos]          0.00000  0.30103  0.00000
incluir[\\,]              0.00000  0.00000  0.30103
incluir[carbohidratos]\t  0.00000  0.00000  0.30103
incluir[evitar]           0.00000  0.00000  0.30103
incluir[proteínas]        0.00000  0.00000  0.30103
incluir[siempre]          0.00000  0.00000  0.30103
inmortales[...]           0.00000  0.30103  0.00000
inmortales[:]             0.00000  0.30103  0.00000
inmortales[\\,]           0.00000  0.30103  0.00000
inmortales[eterna]        0.00000  0.30103  0.00000
inmortales[ignoramos]     0.00000  0.30103  0.00000
inmortales[no]            0.00000  0.30103  0.00000
inmortales[somos]         0.00000  0.30103  0.00000
la[parece]                0.30103  0.00000  0.00000
leer[dentro]              0.30103  0.00000  0.00000
los[todos]                0.00000  0.00000  0.30103
maestro[aquel]            0.30103  0.00000  0.00000
maestro[el]               0.30103  0.00000  0.00000
mejor[\\,]                0.00000  0.00000  0.30103
mejor[es]                 0.00000  0.00000  0.30103
mejor[evitar]             0.00000  0.00000  0.30103
mejor[pero]               0.00000  0.00000  0.30103
mejor[“]                  0.00000  0.00000  0.30103
mente[en]                 0.00000  0.30103  0.00000
mente[su]                 0.00000  0.30103  0.00000
mira[fijamente]           0.30103  0.00000  0.00000
mira[nos]                 0.30103  0.00000  0.00000
mira[quisiera]            0.30103  0.00000  0.00000
mira[todos]               0.30103  0.00000  0.00000
mira[y]                   0.30103  0.00000  0.00000
más[bien]                 0.00000  0.00000  0.30103
nosotros[de]              0.30103  0.00000  0.00000
otro[de]                  0.30103  0.00000  0.00000
parece[cortar]            0.30103  0.00000  0.00000
parte[Por]                0.00000  0.00000  0.30103
parte[\\,]                0.00000  0.00000  0.30103
parte[su]                 0.00000  0.00000  0.30103
pensamiento["]            0.00000  0.30103  0.00000
pensamiento[Ah]           0.00000  0.30103  0.00000
pensamiento[es]\t         0.00000  0.30103  0.00000
pensamiento[ese]          0.00000  0.30103  0.00000
pensamiento[inmortales]   0.00000  0.30103  0.00000
pensamiento[pensó]        0.00000  0.30103  0.00000
pensamiento[sorprenderá]  0.00000  0.30103  0.00000
pensamiento[un]           0.00000  0.30103  0.00000
pensó[\\,]                0.00000  0.30103  0.00000
pensó[adentros]           0.00000  0.30103  0.00000
pensó[tigre]              0.00000  0.30103  0.00000
piña[\\,]                 0.00000  0.00000  0.30103
piña[la]                  0.00000  0.00000  0.30103
proteínas[vegetales]      0.00000  0.00000  0.30103
que[.]                    0.00000  0.30103  0.00000
quisiera[;]               0.30103  0.00000  0.00000
quisiera[\\,]             0.30103  0.00000  0.00000
quisiera[como]            0.30103  0.00000  0.00000
quisiera[leer]            0.30103  0.00000  0.00000
quisiera[si]              0.30103  0.00000  0.00000
recomendado[\\,]          0.00000  0.00000  0.30103
recomendado[consumo]      0.00000  0.00000  0.30103
recomendado[está]         0.00000  0.00000  0.30103
recomendado[mejor]        0.00000  0.00000  0.30103
recomendado[parte]        0.00000  0.00000  0.30103
recomendado[también]      0.00000  0.00000  0.30103
recomendado[”]            0.00000  0.00000  0.30103
