                                      Texto 1   Texto 2   Texto 3
.[.,.]                               0.000000  0.143628  0.000000
.[mente[en]]                         0.000000  0.143628  0.000000
.[mente[su]]                         0.000000  0.143628  0.000000
Ah[.[mente]]                         0.000000  0.143628  0.000000
adentros[para,sus]                   0.000000  0.143628  0.000000
agrega[es[ideal]]                    0.000000  0.000000  0.143628
agrega[es[incluir]]                  0.000000  0.000000  0.143628
agrega[es[que]]                      0.000000  0.000000  0.143628
agrega[es[“]]                        0.000000  0.000000  0.143628
agrega[es[”]]                        0.000000  0.000000  0.143628
agrega[experta,.]                    0.000000  0.000000  0.143628
agrega[experta[la]]                  0.000000  0.000000  0.143628
agrega[recomendado,.]                0.000000  0.000000  0.143628
agrega[recomendado,experta]          0.000000  0.000000  0.143628
agrega[recomendado[\\,]]             0.000000  0.000000  0.143628
agrega[recomendado[consumo]]         0.000000  0.000000  0.143628
agrega[recomendado[está]]            0.000000  0.000000  0.143628
agrega[recomendado[mejor]]           0.000000  0.000000  0.143628
agrega[recomendado[parte]]           0.000000  0.000000  0.143628
agrega[recomendado[también]]         0.000000  0.000000  0.143628
agrega[recomendado[”]]               0.000000  0.000000  0.143628
algunas[banano[como]]                0.000000  0.000000  0.143628
algunas[banano[el]]                  0.000000  0.000000  0.143628
algunas[banano[piña]]                0.000000  0.000000  0.143628
algunas[banano[uvas]]                0.000000  0.000000  0.143628
algunas[dulces,banano]               0.000000  0.000000  0.143628
algunas[dulces[muy]]                 0.000000  0.000000  0.143628
anterior[como,la]                    0.143628  0.000000  0.000000
anterior[la[parece]]                 0.143628  0.000000  0.000000
aquel[;,.]                           0.143628  0.000000  0.000000
aquel[\\,,.]                         0.143628  0.000000  0.000000
aquel[\\,,;]                         0.143628  0.000000  0.000000
aquel[\\,,bueno]                     0.143628  0.000000  0.000000
aquel[\\,,sonreía]                   0.143628  0.000000  0.000000
aquel[bueno,.]                       0.143628  0.000000  0.000000
aquel[bueno,;]                       0.143628  0.000000  0.000000
aquel[bueno,sonreía]                 0.143628  0.000000  0.000000
aquel[bueno[tan]]                    0.143628  0.000000  0.000000
aquel[sonreía,.]                     0.143628  0.000000  0.000000
aquel[sonreía,;]                     0.143628  0.000000  0.000000
aquel[sonreía[\\,]]                  0.143628  0.000000  0.000000
aquel[sonreía[que]]                  0.143628  0.000000  0.000000
aquel[sonreía[siempre]]              0.143628  0.000000  0.000000
aula[escuela[anterior]]              0.143628  0.000000  0.000000
aula[escuela[de]]                    0.143628  0.000000  0.000000
aula[escuela[la]]                    0.143628  0.000000  0.000000
aula[escuela[ronca]]                 0.143628  0.000000  0.000000
aula[esta,escuela]                   0.143628  0.000000  0.000000
aula[tanto,escuela]                  0.143628  0.000000  0.000000
aula[tanto,esta]                     0.143628  0.000000  0.000000
banano[como,el]                      0.000000  0.000000  0.143628
