                                     Texto 1  Texto 2  Texto 3
.[.,.]                               0.00000  0.30103  0.00000
.[mente[en]]                         0.00000  0.30103  0.00000
.[mente[su]]                         0.00000  0.30103  0.00000
Ah[.[mente]]                         0.00000  0.30103  0.00000
adentros[para,sus]                   0.00000  0.30103  0.00000
agrega[es[ideal]]                    0.00000  0.00000  0.30103
agrega[es[incluir]]                  0.00000  0.00000  0.30103
agrega[es[que]]                      0.00000  0.00000  0.30103
agrega[es[“]]                        0.00000  0.00000  0.30103
agrega[es[”]]                        0.00000  0.00000  0.30103
agrega[experta,.]                    0.00000  0.00000  0.30103
agrega[experta[la]]                  0.00000  0.00000  0.30103
agrega[recomendado,.]                0.00000  0.00000  0.30103
agrega[recomendado,experta]          0.00000  0.00000  0.30103
agrega[recomendado[\\,]]             0.00000  0.00000  0.30103
agrega[recomendado[consumo]]         0.00000  0.00000  0.30103
agrega[recomendado[está]]            0.00000  0.00000  0.30103
agrega[recomendado[mejor]]           0.00000  0.00000  0.30103
agrega[recomendado[parte]]           0.00000  0.00000  0.30103
agrega[recomendado[también]]         0.00000  0.00000  0.30103
agrega[recomendado[”]]               0.00000  0.00000  0.30103
algunas[banano[como]]                0.00000  0.00000  0.30103
algunas[banano[el]]                  0.00000  0.00000  0.30103
algunas[banano[piña]]                0.00000  0.00000  0.30103
algunas[banano[uvas]]                0.00000  0.00000  0.30103
algunas[dulces,banano]               0.00000  0.00000  0.30103
algunas[dulces[muy]]                 0.00000  0.00000  0.30103
anterior[como,la]                    0.30103  0.00000  0.00000
anterior[la[parece]]                 0.30103  0.00000  0.00000
aquel[;,.]                           0.30103  0.00000  0.00000
aquel[\\,,.]                         0.30103  0.00000  0.00000
aquel[\\,,;]                         0.30103  0.00000  0.00000
aquel[\\,,bueno]                     0.30103  0.00000  0.00000
aquel[\\,,sonreía]                   0.30103  0.00000  0.00000
aquel[bueno,.]                       0.30103  0.00000  0.00000
aquel[bueno,;]                       0.30103  0.00000  0.00000
aquel[bueno,sonreía]                 0.30103  0.00000  0.00000
aquel[bueno[tan]]                    0.30103  0.00000  0.00000
aquel[sonreía,.]                     0.30103  0.00000  0.00000
aquel[sonreía,;]                     0.30103  0.00000  0.00000
aquel[sonreía[\\,]]                  0.30103  0.00000  0.00000
aquel[sonreía[que]]                  0.30103  0.00000  0.00000
aquel[sonreía[siempre]]              0.30103  0.00000  0.00000
aula[escuela[anterior]]              0.30103  0.00000  0.00000
aula[escuela[de]]                    0.30103  0.00000  0.00000
aula[escuela[la]]                    0.30103  0.00000  0.00000
aula[escuela[ronca]]                 0.30103  0.00000  0.00000
aula[esta,escuela]                   0.30103  0.00000  0.00000
aula[tanto,escuela]                  0.30103  0.00000  0.00000
aula[tanto,esta]                     0.30103  0.00000  0.00000
banano[como,el]                      0.00000  0.00000  0.30103
banano[como,piña]                    0.00000  0.00000  0.30103
banano[como,uvas]                    0.00000  0.00000  0.30103
banano[el,piña]                      0.00000  0.00000  0.30103
banano[el,uvas]                      0.00000  0.00000  0.30103
banano[piña[\\,]]                    0.00000  0.00000  0.30103
banano[piña[la]]                     0.00000  0.00000  0.30103
banano[uvas,piña]                    0.00000  0.00000  0.30103
banano[uvas[\\,]]                    0.00000  0.00000  0.30103
banano[uvas[las]]                    0.00000  0.00000  0.30103
carbohidratos[cereales[integrales]]  0.00000  0.00000  0.30103
carbohidratos[cereales[o]]\t         0.00000  0.00000  0.30103
cereales[o,integrales]               0.00000  0.00000  0.30103
consumir[frutas[tengan]]             0.00000  0.00000  0.30103
consumir[frutas[ácidas]]             0.00000  0.00000  0.30103
consumir[más,frutas]                 0.00000  0.00000  0.30103
consumir[más[bien]]                  0.00000  0.00000  0.30103
consumir[y,frutas]                   0.00000  0.00000  0.30103
consumir[y,más]                      0.00000  0.00000  0.30103
consumo[el,frutas]                   0.00000  0.00000  0.30103
consumo[frutas[de]]                  0.00000  0.00000  0.30103
cortar[frente[la]]                   0.30103  0.00000  0.00000
cortar[le,frente]                    0.30103  0.00000  0.00000
de[agrega,.]                         0.00000  0.00000  0.30103
de[agrega[es]]                       0.00000  0.00000  0.30103
dentro[nosotros[de]]                 0.30103  0.00000  0.00000
después[otro[de]]                    0.30103  0.00000  0.00000
es[ideal,incluir]                    0.00000  0.00000  0.30103
es[ideal,”]                          0.00000  0.00000  0.30103
es[ideal[lo]]                        0.00000  0.00000  0.30103
es[incluir,”]                        0.00000  0.00000  0.30103
es[incluir[carbohidratos]]           0.00000  0.00000  0.30103
es[incluir[evitar]]                  0.00000  0.00000  0.30103
es[incluir[siempre]]                 0.00000  0.00000  0.30103
es[que,ideal]                        0.00000  0.00000  0.30103
es[que,incluir]                      0.00000  0.00000  0.30103
es[que,“]                            0.00000  0.00000  0.30103
es[que,”]                            0.00000  0.00000  0.30103
es[“,ideal]                          0.00000  0.00000  0.30103
es[“,incluir]                        0.00000  0.00000  0.30103
es[“,”]                              0.00000  0.00000  0.30103
escuela[anterior,ronca]              0.30103  0.00000  0.00000
escuela[anterior[como]]              0.30103  0.00000  0.00000
escuela[anterior[la]]                0.30103  0.00000  0.00000
escuela[de,anterior]                 0.30103  0.00000  0.00000
escuela[de,la]                       0.30103  0.00000  0.00000
escuela[de,ronca]                    0.30103  0.00000  0.00000
escuela[la,anterior]                 0.30103  0.00000  0.00000
escuela[la,ronca]                    0.30103  0.00000  0.00000
escuela[ronca[es]]                   0.30103  0.00000  0.00000
escuela[ronca[mira]]                 0.30103  0.00000  0.00000
escuela[ronca[ríe]]                  0.30103  0.00000  0.00000
escuela[ronca[voz]]                  0.30103  0.00000  0.00000
eterna[en[particular]]               0.00000  0.30103  0.00000
eterna[es,en]                        0.00000  0.30103  0.00000
eterna[es,estética]                  0.00000  0.30103  0.00000
eterna[estética,en]                  0.00000  0.30103  0.00000
eterna[no,en]                        0.00000  0.30103  0.00000
eterna[no,es]                        0.00000  0.30103  0.00000
eterna[no,estética]                  0.00000  0.30103  0.00000
eterna[vida,en]                      0.00000  0.30103  0.00000
eterna[vida,es]                      0.00000  0.30103  0.00000
eterna[vida,estética]                0.00000  0.30103  0.00000
eterna[vida,no]                      0.00000  0.30103  0.00000
eterna[vida[la]]                     0.00000  0.30103  0.00000
evitar[\\,,harinas]                  0.00000  0.00000  0.30103
evitar[\\,,incluir]                  0.00000  0.00000  0.30103
evitar[algunas,consumir]             0.00000  0.00000  0.30103
evitar[algunas[banano]]              0.00000  0.00000  0.30103
evitar[algunas[dulces]]              0.00000  0.00000  0.30103
evitar[consumir[frutas]]             0.00000  0.00000  0.30103
evitar[consumir[más]]                0.00000  0.00000  0.30103
evitar[consumir[y]]                  0.00000  0.00000  0.30103
evitar[harinas,incluir]              0.00000  0.00000  0.30103
evitar[harinas[blancas]]             0.00000  0.00000  0.30103
evitar[harinas[las]]                 0.00000  0.00000  0.30103
evitar[harinas[tiempos]]             0.00000  0.00000  0.30103
evitar[incluir[\\,]]                 0.00000  0.00000  0.30103
evitar[incluir[proteínas]]           0.00000  0.00000  0.30103
frutas[de[.]]                        0.00000  0.00000  0.30103
frutas[de[agrega]]                   0.00000  0.00000  0.30103
frutas[tengan[que]]                  0.00000  0.00000  0.30103
frutas[tengan[índice]]               0.00000  0.00000  0.30103
frutas[ácidas,tengan]                0.00000  0.00000  0.30103
gustado[\\,,ha]                      0.30103  0.00000  0.00000
gustado[\\,,me]                      0.30103  0.00000  0.00000
gustado[\\,,no]                      0.30103  0.00000  0.00000
