     handicappedinfants  waterprojectcostsharing  \
0                     1                        2   
1                     1                        2   
2                     0                        2   
3                     1                        2   
4                     2                        2   
5                     1                        2   
6                     1                        2   
7                     1                        2   
8                     1                        2   
9                     2                        2   
10                    1                        2   
11                    1                        2   
12                    1                        2   
13                    2                        2   
14                    1                        2   
15                    1                        2   
16                    2                        1   
17                    2                        0   
18                    1                        2   
19                    2                        2   
20                    2                        2   
21                    2                        2   
22                    2                        0   
23                    2                        2   
24                    2                        1   
25                    2                        1   
26                    2                        1   
27                    2                        2   
28                    2                        1   
29                    2                        2   
30                    1                        2   
31                    2                        2   
32                    2                        2   
33                    1                        2   
34                    2                        2   
35                    1                        2   
36                    2                        0   
37                    2                        2   
38                    1                        2   
39                    2                        1   
40                    2                        2   
41                    2                        2   
42                    2                        1   
43                    2                        1   
44                    2                        2   
45                    2                        2   
46                    2                        2   
47                    2                        1   
48                    2                        2   
49                    1                        0   
50                    2                        2   
51                    1                        2   
52                    2                        2   
53                    2                        2   
54                    2                        2   
55                    1                        2   
56                    1                        2   
57                    1                        2   
58                    1                        2   
59                    1                        2   
60                    2                        2   
61                    1                        2   
62                    2                        2   
63                    2                        2   
64                    2                        2   
65                    2                        2   
66                    1                        2   
67                    1                        2   
68                    2                        0   
69                    2                        2   
70                    2                        1   
71                    2                        2   
72                    2                        2   
73                    2                        1   
74                    2                        1   
75                    1                        2   
76                    1                        2   
77                    1                        2   
78                    2                        2   
79                    1                        1   
80                    2                        1   
81                    2                        1   
82                    1                        1   
83                    1                        1   
84                    1                        0   
85                    1                        1   
86                    1                        1   
87                    1                        1   
88                    1                        2   
89                    1                        1   
90                    2                        1   
91                    2                        1   
92                    2                        2   
93                    2                        1   
94                    2                        1   
95                    2                        1   
96                    1                        1   
97                    2                        1   
98                    2                        2   
99                    1                        1   
100                   2                        1   
101                   2                        1   
102                   2                        1   
103                   2                        1   
104                   0                        0   
105                   2                        2   
106                   1                        2   
107                   1                        0   
108                   2                        0   
109                   2                        0   
110                   1                        1   
111                   1                        0   
112                   1                        0   
113                   1                        0   
114                   2                        0   
115                   1                        0   
116                   2                        1   
117                   2                        2   
118                   1                        2   
119                   1                        1   
120                   1                        0   
121                   1                        0   
122                   1                        1   
123                   2                        0   
124                   1                        0   
125                   1                        0   
126                   1                        0   
127                   1                        0   
128                   1                        0   
129                   0                        0   
130                   2                        0   
131                   1                        1   
132                   1                        1   
133                   1                        1   
134                   1                        1   
135                   1                        1   
136                   1                        2   
137                   1                        0   
138                   1                        1   
139                   2                        1   
140                   1                        1   
141                   1                        1   
142                   1                        1   
143                   0                        2   
144                   1                        0   
145                   1                        1   
146                   1                        2   
147                   1                        1   
148                   1                        2   
149                   1                        1   
150                   2                        2   
151                   2                        2   
152                   1                        2   
153                   1                        1   
154                   1                        2   
155                   2                        2   
156                   2                        2   
157                   1                        2   
158                   1                        2   
159                   1                        2   
160                   1                        2   
161                   1                        1   
162                   1                        2   
163                   1                        2   
164                   2                        2   
165                   1                        2   
166                   2                        1   
167                   2                        1   
168                   1                        1   
169                   2                        1   
170                   2                        1   
171                   1                        0   
172                   1                        2   
173                   1                        1   
174                   2                        0   
175                   1                        2   
176                   1                        1   
177                   1                        1   
178                   0                        1   
179                   2                        1   
180                   0                        0   
181                   1                        1   
182                   2                        0   
183                   0                        0   
184                   1                        1   
185                   2                        1   
186                   1                        2   
187                   2                        1   
188                   2                        0   
189                   2                        1   
190                   1                        0   
191                   1                        2   
192                   1                        1   
193                   1                        1   
194                   1                        1   
195                   1                        1   
196                   1                        1   
197                   1                        0   
198                   1                        1   
199                   2                        2   
200                   1                        1   
201                   2                        2   
202                   2                        1   
203                   2                        1   
204                   1                        1   
205                   1                        1   
206                   1                        1   
207                   2                        0   
208                   1                        1   
209                   2                        2   
210                   1                        1   
211                   1                        2   
212                   1                        1   
213                   1                        2   
214                   2                        2   
215                   1                        2   
216                   2                        2   
217                   1                        2   
218                   2                        0   
219                   1                        2   
220                   1                        1   
221                   1                        2   
222                   2                        1   
223                   1                        1   
224                   1                        2   
225                   1                        0   
226                   1                        1   
227                   2                        1   
228                   1                        2   
229                   1                        2   
230                   1                        2   
231                   1                        2   
232                   1                        2   
233                   1                        2   
234                   1                        1   
235                   1                        1   
236                   1                        1   
237                   2                        1   
238                   2                        2   
239                   1                        1   
240                   1                        1   
241                   2                        1   
242                   1                        1   
243                   1                        2   
244                   2                        1   
245                   2                        1   
246                   1                        1   
247                   1                        2   
248                   0                        0   
249                   2                        1   
250                   1                        2   
251                   1                        2   
252                   2                        2   
253                   1                        2   
254                   2                        1   
255                   2                        1   
256                   1                        1   
257                   1                        1   
258                   1                        1   
259                   2                        1   
260                   2                        1   
261                   2                        1   
262                   2                        1   
263                   2                        1   
264                   2                        1   
265                   2                        1   
266                   1                        1   
267                   2                        1   
268                   2                        1   
269                   2                        1   
270                   2                        2   
271                   1                        2   
272                   2                        1   
273                   1                        1   
274                   2                        1   
275                   1                        1   
276                   1                        1   
277                   1                        1   
278                   1                        1   
279                   1                        1   
280                   1                        1   
281                   2                        1   
282                   2                        1   
283                   1                        1   
284                   1                        1   
285                   1                        1   
286                   1                        1   
287                   2                        2   
288                   2                        2   
289                   2                        2   
290                   2                        1   
291                   2                        1   
292                   2                        1   
293                   2                        2   
294                   1                        2   
295                   1                        2   
296                   1                        1   
297                   2                        2   
298                   1                        2   
299                   1                        2   
300                   1                        1   
301                   1                        1   
302                   1                        1   
303                   1                        1   
304                   1                        2   
305                   1                        1   
306                   1                        1   
307                   2                        1   
308                   1                        1   
309                   2                        1   
310                   1                        1   
311                   1                        1   
312                   2                        2   
313                   1                        2   
314                   1                        2   
315                   1                        2   
316                   1                        1   
317                   2                        1   
318                   1                        1   
319                   2                        1   
320                   1                        2   
321                   2                        2   
322                   2                        2   
323                   2                        2   
324                   1                        2   
325                   1                        2   
326                   2                        2   
327                   1                        2   
328                   2                        2   
329                   2                        0   
330                   1                        2   
331                   2                        0   
332                   2                        1   
333                   1                        1   
334                   1                        2   
335                   1                        1   
336                   1                        1   
337                   2                        1   
338                   2                        1   
339                   2                        1   
340                   1                        1   
341                   1                        0   
342                   1                        2   
343                   1                        1   
344                   1                        1   
345                   1                        1   
346                   1                        1   
347                   2                        1   
348                   2                        1   
349                   1                        2   
350                   1                        2   
351                   1                        1   
352                   1                        2   
353                   1                        1   
354                   1                        2   
355                   2                        1   
356                   1                        1   
357                   1                        1   
358                   2                        2   
359                   1                        1   
360                   2                        1   
361                   2                        1   
362                   2                        2   
363                   2                        2   
364                   2                        2   
365                   1                        2   
366                   2                        1   
367                   2                        2   
368                   1                        2   
369                   1                        2   
370                   2                        2   
371                   2                        2   
372                   1                        2   
373                   1                        2   
374                   1                        2   
375                   1                        2   
376                   2                        0   
377                   1                        2   
378                   1                        1   
379                   1                        1   
380                   2                        2   
381                   2                        2   
382                   2                        2   
383                   2                        2   
384                   2                        2   
385                   2                        2   
386                   1                        0   
387                   2                        2   
388                   1                        2   
389                   2                        1   
390                   0                        0   
391                   2                        2   
392                   2                        2   
393                   0                        0   
394                   2                        2   
395                   2                        2   
396                   2                        2   
397                   2                        2   
398                   1                        2   
399                   1                        2   
400                   1                        2   
401                   1                        2   
402                   0                        1   
403                   1                        2   
404                   2                        2   
405                   1                        1   
406                   2                        1   
407                   1                        1   
408                   2                        1   
409                   1                        1   
410                   1                        1   
411                   2                        1   
412                   1                        1   
413                   2                        2   
414                   2                        2   
415                   1                        2   
416                   2                        2   
417                   2                        2   
418                   2                        2   
419                   2                        2   
420                   2                        2   
421                   1                        2   
422                   1                        1   
423                   1                        2   
424                   1                        2   
425                   1                        1   
426                   2                        1   
427                   1                        1   
428                   0                        0   
429                   2                        1   
430                   1                        1   
431                   1                        1   
432                   1                        0   
433                   1                        1   
434                   1                        2   

